id;fecha;juzgado;acreedor;cantidad;expediente;fianza_o_deuda_propia;origen_de_la_deuda;observaciones;levantada
1;2020-06-23;Analyst Sleek Soft Shoes expedite;Handmade Automotive;Division;executive Auto Loan Account;Innovative New Hampshire killer;overriding Dynamic;Principal Small Cambridgeshire;back up
2;2020-06-24;Directives;SMTP;User-friendly;Oklahoma architectures;convergence pricing structure;bifurcated killer Human;programming strategize transmit;Tunnel Borders teal
3;2020-06-23;orange;Auto Loan Account;orchid;robust;Accountability;Lake Licensed;backing up parallelism Baht;world-class hacking Cambridgeshire
4;2020-06-24;Gorgeous Plastic Table Program;Rubber generate;Massachusetts;Guinea;matrix;Diverse;Home;Team-oriented Movies
5;2020-06-23;Specialist;alarm;index synthesizing;Money Market Account National;port compressing Keyboard;customized Assistant;Manager input;Montenegro Tuna
6;2020-06-24;relationships;driver Ball haptic;web-enabled Checking Account;executive Personal Loan Account;payment;quantify;haptic;Bedfordshire holistic Division
7;2020-06-23;Costa Rican Colon;Practical solid state Metal;bus;global Jewelery Intelligent Wooden Pants;open-source;Pizza Metal input;Michigan Infrastructure Bedfordshire;Avon Buckinghamshire
8;2020-06-24;Regional Books optical;Jewelery;Personal Loan Account indexing Intelligent;firewall calculating;Venezuela Australia;Bedfordshire sensor;Wooden Data hard drive;architect Fresh SAS
9;2020-06-24;migration dynamic SAS;Buckinghamshire Gorgeous Plastic Soap Intranet;parsing Investor Computers;Car salmon Home;collaboration best-of-breed;Tactics mindshare;maximize Gorgeous Soft Pants asymmetric;cross-platform Gourde US Dollar
10;2020-06-24;grey;Metrics invoice;alarm Concrete redundant;quantify Tasty eco-centric;Group;Supervisor Practical Granite Chips Computer;Botswana Administrator Rwanda;hard drive
